"text";"id";"retweeted";"created_at";"source";"hashtags"
"#irhhu #1 Je mehr strategische Entscheidungen in der Firma anfallen, desto größer ist der Bedarf an Informationswissenschaftler.";"139438126446821376";"False";"2011-11-23 20:20:14";"Twitter for Mac";"irhhu"
"＃irhhu #1 Fixpunkt der Informationswissenschaft ist der Informationsinhalt, neudeutsch Content, der das Wissen repräsentiert.";"139431589326229505";"False";"2011-11-23 19:54:16";"Twitter for Mac";"irhhu"
"RT @Citrusfrucht: #irhhu #9 Hinter dem ASCII-7-Bit-Code aus den Folien steckt ""Gruess Gott!""!";"137537148290211840";"False";"2011-11-18 14:26:26";"Twitter for iPad";"irhhu"
"@Citrusfrucht Wow.danke";"137537114844823552";"False";"2011-11-18 14:26:18";"Twitter for iPad";""
"#irhhu #1 Information Retrieval ist die Wissenschaft, die Technik und der Praxisbereich des Suchens und Findens von Informationen.";"137462956328894464";"False";"2011-11-18 09:31:37";"Twitter for iPad";"irhhu"
"Yuankun LUO - Mahara http://t.co/yMkavzzr";"136119197750132736";"False";"2011-11-14 16:32:00";"Tweet Button";""
"#irhhu #8 Schwach strukturierten Dokumente,mit dennen beschäftigt sich Information Retrieval.";"135793784897282048";"False";"2011-11-13 18:58:55";"web";"irhhu"
"@oomoepoo Information Retrieval! ist sehr interessant";"135444173548564480";"False";"2011-11-12 19:49:42";"Twitter for Mac";""
"@t7l super";"133263786290323456";"False";"2011-11-06 19:25:37";"web";""
"#irhhu# Gmail funktionert nicht noch ein Mal in China! schade";"132458708247654402";"False";"2011-11-04 14:06:31";"web";""
