"Collateral","7.6","2","oscar","2004","Michael Mann","USA"
"Sideways","7.6","1","oscar","2004","Alexander Payne","USA"
"Sherlock Holmes","7.6","2","oscar","2009","Guy Ritchie","USA, Germany"
"The Blind Side","7.6","1","oscar","2009","John Lee Hancock","USA"
"Harry Potter and the Deathly Hallows: Part 1","7.6","2","oscar","2010","David Yates","UK, USA"
"The Town","7.6","1","oscar","2010","Ben Affleck","USA"
"Moneyball","7.6","6","oscar","2011","Bennett Miller","USA"
"Juno","7.6","1","oscar","2007","Jason Reitman","USA"
"La Vie en Rose","7.6","2","oscar","2007","Olivier Dahan","France, UK, Czech Republic"
"The Kite Runner","7.6","1","oscar","2007","Marc Forster","USA, China"
"The Counterfeiters","7.6","1","oscar","2007","Stefan Ruzowitzky","Austria, Germany"
"The Impossible","7.6","1","oscar","2012","J.A. Bayona","Spain"
"A Royal Affair","7.6","1","oscar","2012","Nikolaj Arcel","Denmark, Sweden, Czech Republic"
"Harry Potter and the Goblet of Fire","7.6","1","oscar","2005","Mike Newell","UK, USA"
"The Curse of the Were-Rabbit","7.6","1","oscar","2005","Steve Box, Nick Park","UK, USA"
"Little Children","7.6","3","oscar","2006","Todd Field","USA"
"Volver","7.6","1","oscar","2006","Pedro Almod贸var","Spain"
"United 93","7.6","2","oscar","2006","Paul Greengrass","France, UK, USA"
"Away from Her","7.6","2","oscar","2006","Sarah Polley","Canada, UK, USA"
"House of Sand and Fog","7.6","3","oscar","2003","Vadim Perelman","USA"
"The Hurt Locker","7.6","6","oscar","2008","Kathryn Bigelow","USA"
"The Reader","7.6","1","oscar","2008","Stephen Daldry","USA, Germany"
"Milk","7.6","2","oscar","2008","Gus Van Sant","USA"
"The Aviator","7.5","5","oscar","2004","Martin Scorsese","USA, Germany"
"Maria Full of Grace","7.5","1","oscar","2004","Joshua Marston","Colombia, USA, Ecuador"
"Up in the Air","7.5","6","oscar","2009","Jason Reitman","USA"
"A Single Man","7.5","1","oscar","2009","Tom Ford","USA"
"The Illusionist","7.5","1","oscar","2010","Sylvain Chomet","UK, France"
"Rise of the Planet of the Apes","7.5","1","oscar","2011","Rupert Wyatt","USA"
"Monsieur Lazhar","7.5","1","oscar","2011","Philippe Falardeau","Canada"
"Sweeney Todd: The Demon Barber of Fleet Street","7.5","1","oscar","2007","Tim Burton","USA, UK"
"The Assassination of Jesse James by the Coward Robert Ford","7.5","2","oscar","2007","Andrew Dominik","USA, Canada, UK"
"Lincoln","7.5","2","oscar","2012","Steven Spielberg","USA"
"No","7.5","1","oscar","2012","NA","Chile, USA, France, Mexico"
"A History of Violence","7.5","2","oscar","2005","David Cronenberg","USA, Germany"
"The Constant Gardener","7.5","1","oscar","2005","Fernando Meirelles","UK, Germany, USA, China"
"Good Night, and Good Luck.","7.5","6","oscar","2005","George Clooney","USA, France, UK, Japan"
"Paradise Now","7.5","1","oscar","2005","Hany Abu-Assad","Palestine, France, Germany, Netherlands, Israel"
"Babel","7.5","1","oscar","2006","Alejandro González Iñárritu","France, USA, Mexico"
"Notes on a Scandal","7.5","4","oscar","2006","Richard Eyre","UK"
"The Class","7.5","1","oscar","2008","Laurent Cantet","France"
"Spider-Man 2","7.4","1","oscar","2004","Sam Raimi","USA"
"Harry Potter and the Half-Blood Prince","7.4","1","oscar","2009","David Yates","UK, USA"
"Precious","7.4","2","oscar","2009","Lee Daniels","USA"
"Precious","7.4","2","oscar","2009","Lee Daniels","USA"
"In the Loop","7.4","1","oscar","2009","Armando Iannucci","UK"
"Blue Valentine","7.4","1","oscar","2010","Derek Cianfrance","USA"
"Biutiful","7.4","2","oscar","2010","NA","Mexico, Spain"
"The Descendants","7.4","1","oscar","2011","Alexander Payne","USA"
"The Adventures of Tintin","7.4","1","oscar","2011","Steven Spielberg","USA, New Zealand"
"Lars and the Real Girl","7.4","1","oscar","2007","Craig Gillespie","USA, Canada"
"August Rush","7.4","1","oscar","2007","Kirsten Sheridan","USA"
"Zero Dark Thirty","7.4","1","oscar","2012","Kathryn Bigelow","USA"
"Corpse Bride","7.4","1","oscar","2005","Tim Burton, Mike Johnson","UK, USA"
"Capote","7.4","1","oscar","2005","Bennett Miller","USA, Canada"
"The Squid and the Whale","7.4","1","oscar","2005","Noah Baumbach","USA"
"Transamerica","7.4","2","oscar","2005","Duncan Tucker","USA"
"The Queen","7.4","1","oscar","2006","Stephen Frears","UK, France, Italy"
"Master and Commander: The Far Side of the World","7.4","2","oscar","2003","Peter Weir","USA"
"Closer","7.3","2","oscar","2004","Mike Nichols","USA, UK"
"Closer","7.3","2","oscar","2004","Mike Nichols","USA, UK"
"An Education","7.3","3","oscar","2009","Lone Scherfig","UK, USA"
"Invictus","7.3","2","oscar","2009","Clint Eastwood","USA"
"The Young Victoria","7.3","1","oscar","2009","Jean-Marc VallĂŠe","UK, USA"
"Crazy Heart","7.3","2","oscar","2009","Scott Cooper","USA"
"The Way Back","7.3","1","oscar","2010","Peter Weir","USA, United Arab Emirates, Poland"
"Animal Kingdom","7.3","1","oscar","2010","NA","Australia"
"Barney's Version","7.3","1","oscar","2010","Richard J. Lewis","Canada, Italy"
"Another Year","7.3","1","oscar","2010","Mike Leigh","UK"
"Jane Eyre","7.3","1","oscar","2011","Cary Fukunaga","UK, USA"
"Rango","7.3","1","oscar","2011","Gore Verbinski","USA"
"Bullhead","7.3","1","oscar","2011","NA","Belgium, Netherlands"
"Michael Clayton","7.3","1","oscar","2007","Tony Gilroy","USA"
"Flight","7.3","2","oscar","2012","Robert Zemeckis","USA"
"Beasts of the Southern Wild","7.3","4","oscar","2012","Benh Zeitlin","USA"
"King Kong","7.3","3","oscar","2005","Peter Jackson","New Zealand, USA, Germany"
"Tsotsi","7.3","1","oscar","2005","Gavin Hood","UK, South Africa"
