"tt0989757","Dear John","6.2","108 mins.","Lasse HallstrÃ¶m","Channing Tatum;Amanda Seyfried;Richard Jenkins","Drama;Romance;War","A romantic drama about a soldier who falls for a conservative college student while he's home on leave."
"tt0815236","She's Out of My League","6.4","104 mins.","Jim Field Smith","Jay Baruchel;Alice Eve;T.J. Miller","Comedy;Romance","An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship."
"tt1403981","Remember Me","7.2","113 mins.","Allen Coulter","Robert Pattinson;Emilie de Ravin;Caitlyn Rund","Drama;Romance","A romantic drama centered on two new lovers: Tyler, whose parents have split in the wake of his brother's suicide, and Ally, who lives each day to the fullest since witnessing her mother's murder."
"tt1261945","Sex and the City 2","4.1","146 mins.","Michael Patrick King","Sarah Jessica Parker;Kim Cattrall;Kristin Davis","Comedy;Drama;Romance","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie."
"tt1053424","Repo Men","6.3","111 mins.","Miguel Sapochnik","Jude Law;Forest Whitaker;Alice Braga","Action;Crime;Sci-Fi;Thriller","Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed."
"tt1424381","Predators","6.4","107 mins.","NimrÃ³d Antal","Adrien Brody;Laurence Fishburne;Topher Grace","Action;Adventure;Sci-Fi;Thriller","A group of elite warriors are hunted by members of a merciless alien race known as Predators."
"tt1255953","Incendies","8.2","139 mins.","Denis Villeneuve","Lubna Azabal;MÃ©lissa DÃ©sormeaux-Poulin;Maxim Gaudette","Drama;Mystery;War","Twins journey to the Middle East to discover their family history, and fulfill their mother's last wishes."
"tt1037705","The Book of Eli","6.8","118 mins.","Albert Hughes","Allen Hughes;Denzel Washington;Mila Kunis;Ray Stevenson","Action;Adventure;Drama;Thriller","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind."
"tt0879870","Eat Pray Love","5.5","133 mins.","Ryan Murphy","Julia Roberts;Javier Bardem;Richard Jenkins","Drama;Romance","A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round-the-world journey to ""find herself""."
"tt1135084","Takers","6.1","107 mins.","John Luessenhop","Chris Brown;Hayden Christensen;Matt Dillon","Action;Crime;Thriller","A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective."
"tt0889573","The Switch","6.0","101 mins.","Josh Gordon","Will Speck;Jennifer Aniston;Jason Bateman;Patrick Wilson","Comedy;Drama;Romance","Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy."
"tt1193631","Step Up 3D","6.0","107 mins.","Jon M. Chu","Sharni Vinson;Rick Malambri;Adam G. Sevani","Drama;Music;Romance","A tight-knit group of New York City street dancers,find themselves pitted against the world's best hip hop dancers in a high-stakes showdown."
"tt0817177","Flipped","7.7","90 mins.","Rob Reiner","Madeline Carroll;Callan McAuliffe;Rebecca De Mornay","Comedy;Drama;Romance","Two eighth graders start to have feelings for each other despite being total opposites. Based on the novel ""Flipped"" by Wendelin Van Draanen."
"tt1216492","Leap Year","6.3","100 mins.","Anand Tucker","Amy Adams;Matthew Goode;Adam Scott","Comedy;Romance","Anna Brady plans to travel to Dublin, Ireland to propose to her boyfriend Jeremy on February 29, leap day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it."
