"tt1259521","The Cabin in the Woods","7.1","95 mins.","Drew Goddard","Kristen Connolly;Chris Hemsworth;Anna Hutchison","Horror;Mystery;Thriller","Five friends go for a break at a remote cabin in the woods, where they get more than they bargained for. Together, they must discover the truth behind the cabin in the woods."
"tt1336608","Rock of Ages","5.9","123 mins.","Adam Shankman","Julianne Hough;Diego Boneta;Tom Cruise","Comedy;Drama;Musical;Romance","A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams."
"tt2205697","Stuck in Love","7.3","97 mins.","Josh Boone","Greg Kinnear;Jennifer Connelly;Lily Collins","Comedy;Drama;Romance","An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year."
"tt1748122","Moonrise Kingdom","7.8","94 mins.","Wes Anderson","Jared Gilman;Kara Hayward;Bruce Willis","Comedy;Drama;Romance","A pair of young lovers flee their New England town, which causes a local search party to fan out and find them."
"tt1582507","House at the End of the Street","5.5","101 mins.","Mark Tonderai","Jennifer Lawrence;Elisabeth Shue;Max Thieriot","Horror;Mystery;Thriller","When a teenager and her mother move to a little town, the girl finds that an accident happened in the house at the end of the street. But things get complicated when she befriends a boy who is the only survivor in the accident."
"tt1446192","Rise of the Guardians","7.3","97 mins.","Peter Ramsey","Hugh Jackman;Alec Baldwin;Isla Fisher","Animation;Adventure;Family;Fantasy","When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world."
"tt1491044","The Iceman","6.9","105 mins.","Ariel Vromen","Michael Shannon;Chris Evans;James Franco","Biography;Crime;Drama","The true story of Richard Kuklinski, the notorious contract killer and family man. When finally arrested in 1986, neither his wife nor daughters have any clue about his real profession."
"tt1932718","Thanks for Sharing","6.4","112 mins.","Stuart Blumberg","Mark Ruffalo;Tim Robbins;Gwyneth Paltrow","Comedy;Drama","A romantic comedy that brings together three disparate characters who are learning to face a challenging and often confusing world as they struggle together against a common demon: sex addiction."
"tt1649419","The Impossible","7.6","114 mins.","J.A. Bayona","Naomi Watts;Ewan McGregor;Tom Holland","Drama;History;Thriller","The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami."
"tt1440129","Battleship","5.9","131 mins.","Peter Berg","Alexander Skarsg̴rd;Brooklyn Decker;Liam Neeson","Action;Adventure;Sci-Fi;Thriller","A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals."
"tt1764651","The Expendables 2","6.8","103 mins.","Simon West","Sylvester Stallone;Liam Hemsworth;Randy Couture","Action;Adventure;Thriller","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
"tt1781769","Anna Karenina","6.6","129 mins.","Joe Wright","Keira Knightley;Jude Law;Aaron Taylor-Johnson","Drama","Set in late-19th-century Russia high-society, the aristocrat Anna Karenina enters into a life-changing affair with the affluent Count Vronsky."
"tt1781769","Anna Karenina","6.6","129 mins.","Joe Wright","Keira Knightley;Jude Law;Aaron Taylor-Johnson","Drama","Set in late-19th-century Russia high-society, the aristocrat Anna Karenina enters into a life-changing affair with the affluent Count Vronsky."
"tt1217209","Brave","7.2","93 mins.","Mark Andrews","Brenda Chapman;Kelly Macdonald;Billy Connolly;Emma Thompson","Animation;Action;Adventure;Comedy;Family;Fantasy","Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
"tt1855199","End of Watch","7.7","109 mins.","David Ayer","Jake Gyllenhaal;Michael Pe̱a;Anna Kendrick","Crime;Drama;Thriller","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
"tt1560747","The Master","7.1","144 mins.","Paul Thomas Anderson","Philip Seymour Hoffman;Joaquin Phoenix;Amy Adams","Drama","A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader."
"tt1077368","Dark Shadows","6.3","113 mins.","Tim Burton","Johnny Depp;Michelle Pfeiffer;Eva Green","Comedy;Horror","An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection."
"tt1381404","The Company You Keep","6.4","125 mins.","Robert Redford","Robert Redford;Brit Marling;Stanley Tucci","Drama;Thriller","A former Weather Underground activist goes on the run from a journalist who has discovered his identity."
"tt1433811","Disconnect","7.6","115 mins.","Henry Alex Rubin","Jason Bateman;Jonah Bobo;Haley Ramm","Drama;Thriller","A drama centered on a group of people searching for human connections in today's wired world."
"tt1606389","The Vow","6.8","104 mins.","Michael Sucsy","Rachel McAdams;Channing Tatum;Sam Neill","Drama;Romance","A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again."
"tt0401729","John Carter","6.6","132 mins.","Andrew Stanton","Taylor Kitsch;Lynn Collins;Willem Dafoe","Action;Adventure;Fantasy;Sci-Fi","Transplanted to Mars, a Civil War vet discovers a lush planet inhabited by 12-foot tall barbarians. Finding himself a prisoner of these creatures, he escapes, only to encounter a princess who is in desperate need of a savior."
"tt2347569","Frances Ha","7.6","86 mins.","Noah Baumbach","Greta Gerwig;Mickey Sumner;Adam Driver","Comedy;Drama","A story that follows a New York woman (who doesn't really have an apartment), apprentices for a dance company (though she's not really a dancer), and throws herself headlong into her dreams, even as their possible reality dwindles."
"tt1327194","The Lucky One","6.4","101 mins.","Scott Hicks","Zac Efron;Taylor Schilling;Blythe Danner","Drama;Romance","A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war."
